unc,model,mass_accuracy,precision
high,CLUE,0.14517710217363483,0.8
random,CLUE,0.12376553346063791,0.0
low,CLUE,0.11089030705011856,0.0
high,VarX,0.4906486129546333,1.0
random,VarX,0.4727549423244636,1.0
low,VarX,0.5418520778130105,1.0
high,VarXIG,0.462804220513257,1.0
random,VarXIG,0.38393602140739896,1.0
low,VarXIG,0.21301963807472205,0.7
high,VarXLRP,0.42210859866261957,1.0
random,VarXLRP,0.35851530503497714,1.0
low,VarXLRP,0.26648342006287773,1.0
high,infoshap,0.05681698253797293,0.0
random,infoshap,0.05573120714122912,0.0
low,infoshap,0.05995623098333648,0.0
