unc,model,mass_accuracy.mean,mass_accuracy.std,precision.mean,precision.std
high,CLUE,0.0848063549567057,0.002601215948418959,0.85,0.12431631210161219
high,VarX,0.5352958209948266,0.04863021305263356,1.0,0.0
high,VarXIG,0.5101842847415513,0.03412760284296398,1.0,0.0
high,VarXLRP,0.4824323669054132,0.041202503514394404,1.0,0.0
high,infoshap,0.11135337941962803,0.017983407078354816,0.6,0.19069251784911845
low,CLUE,0.05501986305919578,0.0034235330739173083,0.016666666666666666,0.05773502691896258
low,VarX,0.6185405632450299,0.07713916602368025,1.0,0.0
low,VarXIG,0.19282755642195318,0.03353179320120725,0.9833333333333334,0.05773502691896258
low,VarXLRP,0.2272222294397763,0.027449495638161903,1.0,0.0
low,infoshap,0.1119975673104134,0.021919435184496353,0.5833333333333334,0.18006732747570398
random,CLUE,0.06667471477100352,0.0009114228836588499,0.05000000000000001,0.09045340337332909
random,VarX,0.5401612982339478,0.05475901092777212,1.0,0.0
random,VarXIG,0.4443249960877358,0.04776891089854726,1.0,0.0
random,VarXLRP,0.46513923845970745,0.06290408810967293,0.9666666666666667,0.07784989441615231
random,infoshap,0.10213167362245179,0.016660690615314385,0.5499999999999999,0.19306145983268458
