unc,model,mass_accuracy,precision
high,CLUE,0.08613131755532218,0.8
random,CLUE,0.06566817090756025,0.0
low,CLUE,0.04860596804542032,0.0
high,VarX,0.5899841462700915,1.0
random,VarX,0.5586855001766924,1.0
low,VarX,0.5603331876398715,1.0
high,VarXIG,0.5484573689772243,1.0
random,VarXIG,0.4860224190001657,1.0
low,VarXIG,0.1866358366064888,1.0
high,VarXLRP,0.5113391988166404,1.0
random,VarXLRP,0.5436985828758909,0.6
low,VarXLRP,0.24050015173306433,1.0
high,infoshap,0.20920155618845232,1.0
random,infoshap,0.18029585940288795,0.8
low,infoshap,0.17162223254476777,0.8
