unc,model,mass_accuracy,precision
high,CLUE,0.07105337453236348,0.4
random,CLUE,0.060572305562230505,0.0
low,CLUE,0.05633826459627282,0.0
high,VarX,0.2162194148301854,0.5
random,VarX,0.20395709494259875,0.5
low,VarX,0.22859532479055517,0.5
high,VarXIG,0.2153610124529243,0.5
random,VarXIG,0.17102348423854505,0.5
low,VarXIG,0.09793201358532083,0.3
high,VarXLRP,0.1836590019185765,0.5
random,VarXLRP,0.1637739240760487,0.5
low,VarXLRP,0.11343617326862765,0.5
high,infoshap,0.11448001237457243,0.3
random,infoshap,0.09953869869711582,0.2
low,infoshap,0.09100862900845608,0.2
