,y_preds,y_uncertainty,response,noise_std_test,sq_error,distance_from_mean,cummulative_sq_error
535,0.42243895,0.7746713,0.1468032,0.1379104911286018,0.07597506667806248,0.39922007639339996,0.07597506667806248
844,0.4088272,0.43044478,0.25351158,0.1817463193490476,0.024122941815984397,0.3856083263934,0.05004900424702344
213,0.27262565,0.43496946,0.38732916,0.4971576890734829,0.013156895206320102,0.2494067763934,0.03775163456678899
554,-0.087598205,0.4963565,-0.36417934,0.5497397620764392,0.07649712423788825,0.1108170786066,0.04743800698456381
344,-0.098855555,0.4279903,-0.16675663,0.5534308867936092,0.004610555986155624,0.1220744286066,0.03887251678488217
1499,-0.67708164,0.6970698,-1.0052772,0.6489437246319345,0.10771232560371363,0.7003005136066001,0.05034581825468742
611,0.2722254,0.42257673,0.29281503,0.6571074723732001,0.00042393286353689875,0.2490065263934,0.04321412034166592
612,-0.022178378,0.86005795,0.07816096,0.6579731318031257,0.010067982750278244,0.045397251606600006,0.03907085314274246
411,0.0712099,0.45682406,-0.07579452,0.6683285002366741,0.021610299499536408,0.0479910263934,0.037130791626830674
955,-0.12454594,0.546462,-0.24644901,0.6800011352056807,0.0148603584754249,0.1477648136066,0.034903748311690096
1372,0.8750581,0.8504742,0.16646577,0.685852151448575,0.5021030901348287,0.8518392263933999,0.07737641575015725
638,-0.30412644,0.6771608,-0.6481757,0.7135273089993489,0.11836989330654761,0.3273453136066,0.08079253887985643
1379,-0.5457104,0.601062,-0.5078666,0.7852810892703936,0.001432153198440007,0.5689292736066001,0.07468789382743979
1451,0.07027476,0.57111865,-0.07626045,0.7892443937526978,0.0214725677697441,0.0470558863934,0.07088679910903295
486,0.34499738,0.5348164,0.3645451,0.7910927269806673,0.0003821133571983996,0.3217785063934,0.06618648672557731
138,0.11196957,0.5548301,0.14600971,0.806271425094768,0.0011587311312195989,0.0887506963934,0.06212225200092995
501,0.14596578,0.56522214,0.042531848,0.8442864449438461,0.010698578288980623,0.12274690639339998,0.05909733001787411
970,0.54820234,0.54917055,0.6355239,0.8504645263160094,0.007625054840833603,0.5249834663934,0.05623775917470519
494,-0.11717386,0.5031779,0.17279004,0.8809662581914064,0.08407906330321,0.1403927336066,0.05770309097094229
614,0.11653412,0.6329125,0.046879664,0.892675507406089,0.0048517432406559365,0.0933152463934,0.055060523584427964
309,0.46259388,0.51717234,0.29960397,0.9233504766549606,0.026565710761808106,0.4393750063934,0.05370362773573178
1250,0.6769414,0.5463062,0.965349,0.9291710428820632,0.08317894373776,0.6537225263934,0.055043414826733056
1198,0.3503127,0.5006197,0.28529266,0.9348137848210384,0.0042276056016016,0.32709382639339996,0.05283403181694473
1157,-0.74066764,0.52929157,-1.0524468,0.9702253271754142,0.09720624461030564,0.7638865136066,0.054682874016668104
1426,0.33839598,0.7207367,0.6335565,0.9785356216476966,0.08711973256667038,0.31517710639339996,0.05598034835866819
1424,0.12609443,0.47171706,0.18274485,1.0026674698735574,0.003209270086176398,0.1028755563934,0.053950691502033896
295,-0.2577229,0.42307803,-0.38855025,1.023204658251891,0.017115795508022502,0.2809417736066,0.05258643609484829
1444,0.4849582,0.5320924,0.20631327,1.0263565610599632,0.07764299701470491,0.4617393263934,0.053481313270557454
1188,0.07748055,0.3965538,0.12782717,1.0421609679693344,0.0025347821454243993,0.05426167639339999,0.05172453633520804
1232,-0.50306344,0.53111315,-0.7732895,1.0422855337559522,0.07302212350312356,0.5262823136066,0.052434455907471894
1353,0.6529004,0.4702157,0.99207515,1.0627342442673198,0.11503951103756248,0.6296815263934,0.05445397381489417
582,0.471787,0.46448418,0.51632446,1.0782778042296748,0.0019835853432515977,0.4485681263934,0.052814274175155336
878,-0.11686412,0.56452113,-0.0632772,1.0914685228128314,0.0028715579950863994,0.1400829936066,0.05130085853333507
