,y_preds,y_uncertainty,response,noise_std_test,sq_error,distance_from_mean,cummulative_sq_error
535,0.114225194,0.6552714,0.1468032,0.1379104911286018,0.0010613264749360356,0.09341821193172667,0.0010613264749360356
844,0.28299248,0.6121954,0.25351158,0.1817463193490476,0.0008691234648099986,0.26218549793172663,0.0009652249698730172
213,0.18919814,0.48173383,0.38732916,0.4971576890734829,0.039255901086240406,0.16839115793172665,0.013728783675328813
554,-0.32201064,0.36577937,-0.36417934,0.5497397620764392,0.0017781992596900002,0.3428176220682734,0.01074113757141911
344,-0.3077723,0.46048808,-0.16675663,0.5534308867936092,0.019885419185548904,0.32857928206827336,0.012569993894245068
1499,-0.69450194,0.53782445,-1.0052772,0.6489437246319345,0.09658126222806766,0.7153089220682733,0.02657187194988217
611,0.4330251,0.49753734,0.29281503,0.6571074723732001,0.019658863729404907,0.4122181179317267,0.025584299346956847
612,0.51141155,0.99779445,0.07816096,0.6579731318031257,0.18770607373534814,0.4906045679317267,0.04584952114550576
411,0.14741914,0.5740034,-0.07579452,0.6683285002366741,0.049824338010595604,0.12661215793172667,0.04629116746384907
955,-0.32592273,0.6196094,-0.24644901,0.6800011352056807,0.0063160721706384,0.3467297120682733,0.04229365793452801
1372,0.32855323,0.712138,0.16646577,0.685852151448575,0.026272344689251586,0.30774624793172667,0.04083717491223015
638,-0.31995213,0.6273463,-0.6481757,0.7135273089993489,0.10773071190354491,0.34075911206827336,0.04641163632817305
1379,-0.34507024,0.5425275,-0.5078666,0.7852810892703936,0.02650265482924959,0.36587722206827333,0.04488017621287125
1451,-0.032978848,0.53263175,-0.07626045,0.7892443937526978,0.0018732970716864037,0.05378583006827333,0.04180825627421519
486,0.6245961,0.623079,0.3645451,0.7910927269806673,0.067626522601,0.6037891179317266,0.04352947402933417
138,-0.023014963,0.4318562,0.14600971,0.806271425094768,0.028569340082756925,0.04382194506827333,0.042594465657673095
501,0.31742275,0.6337557,0.042531848,0.8442864449438461,0.0755650080023736,0.2966157679317266,0.04453390932500842
970,0.640353,0.4298963,0.6355239,0.8504645263160094,2.3320206809999224e-05,0.6195460179317266,0.04206109881844184
494,-0.023731627,0.5022229,0.17279004,0.8809662581914064,0.03862076560045889,0.04453860906827334,0.041880028649074315
614,-0.08872894,0.5134409,0.046879664,0.892675507406089,0.018389693478828822,0.10953592206827334,0.04070551189056204
309,0.58584243,0.63749313,0.29960397,0.9233504766549606,0.08193245598317161,0.5650354479317267,0.04266869970449583
1250,0.70201015,0.48262382,0.965349,0.9291710428820632,0.06934734991932251,0.6812031679317266,0.043881365623351584
1198,0.4091357,0.42650512,0.28529266,0.9348137848210384,0.015337098556441603,0.38832871793172663,0.04264031053348593
1157,-0.8581815,0.46657994,-1.0524468,0.9702253271754142,0.03773900678408999,0.8789884820682734,0.04243608954392777
1426,0.54246414,0.53169507,0.6335565,0.9785356216476966,0.008297818050369598,0.5216571579317266,0.04107055868418544
1424,-0.07263594,0.6368846,0.18274485,1.0026674698735574,0.06521934790102409,0.09344292206827333,0.041999358269448464
295,-0.16491316,0.4802044,-0.38855025,1.023204658251891,0.05001354802366809,0.18572014206827334,0.042296180112197344
1444,0.123344064,0.501368,0.20631327,1.0263565610599632,0.006883889144270434,0.10253708193172667,0.04103145543477138
1188,0.23000903,0.5836482,0.12782717,1.0421609679693344,0.010441132513059602,0.20920204793172667,0.03997661671333304
1232,-0.41389936,0.41621357,-0.7732895,1.0422855337559522,0.12916127272921957,0.4347063420682733,0.042949438580529256
1353,0.80256104,0.6584814,0.99207515,1.0627342442673198,0.03591559788909213,0.7817540579317266,0.0427225404937087
582,0.3410927,0.43287498,0.51632446,1.0782778042296748,0.030706169712697587,0.32028571793172667,0.04234702890680211
878,0.054615878,0.56526107,-0.0632772,1.0914685228128314,0.013898777840314087,0.03380889593172667,0.041484960692666106
408,0.84399396,0.4218436,1.090646,1.1210558308056873,0.06083722883616158,0.8231869779317267,0.04205414504982774
997,0.20584089,0.65229833,0.22228998,1.1243320741997045,0.0002705725618281,0.18503390793172667,0.040860328693027755
321,-0.49663275,0.47225145,-0.5435726,1.133319248389762,0.0022033495180224954,0.5174397320682733,0.03978652371594427
636,0.22047263,0.5175388,0.18073653,1.1459962809922546,0.0015789576432099998,0.19966564793172667,0.03875388679505956
662,0.25798643,1.0478846,0.2507662,1.147895712813234,5.213172125289991e-05,0.23717944793172666,0.03773541955627518
1351,-0.12999517,0.6872428,-0.52427185,1.1566732419285146,0.1554541003918224,0.15080215206827333,0.04075384727000716
1468,0.1005811,0.73022956,-0.03111931,1.215812934226575,0.017344997994168106,0.07977411793172667,0.04016862603811118
1227,-0.23987406,0.44629166,-0.41253582,1.2375762514978996,0.0298120833662976,0.26068104206827336,0.03991602743635963
351,0.29844564,0.65391815,0.10057027,1.2397458787599267,0.039154662052636895,0.2776386579317267,0.03989789968912813
986,-0.028317511,0.5982241,-0.87467194,1.2822786373093005,0.7163158194879161,0.04912449306827334,0.055628548986774363
879,0.6524208,0.5009317,0.28878316,1.2846966004482974,0.13223233322476963,0.6316138179317267,0.057369544083092444
109,0.368493,0.8133449,-0.0668637,1.298613813414807,0.18953545623489004,0.3476860179317267,0.06030656435313239
1404,0.22109161,0.6035007,0.22868247,1.3023829245383722,5.7621155539600076e-05,0.20028462793172666,0.05899680471840211
150,0.36385205,0.6293472,-0.039528087,1.314721502255675,0.16271553492613874,0.3430450679317266,0.06120358621218374
287,-0.80864286,0.6821704,-0.58026147,1.3379598133867328,0.05215805929833211,0.8294498420682733,0.061015137734811827
22,-0.47303104,0.7018763,-0.41027665,1.3497977468273177,0.003938113464272099,0.4938380220682733,0.059850300504800814
1027,-0.067196056,0.4656856,-0.17978738,1.3512852783533549,0.012676806240072974,0.08800303806827334,0.05890683061950625
314,-0.1330416,0.45175013,0.033252392,1.3622922919925544,0.027653691775296065,0.15384858206827334,0.05829402397550213
1247,-0.0004845783,0.5794126,-0.2500395,1.3824927579522546,0.062277658944693136,0.021291560368273333,0.058370632340294264
155,-0.32689416,0.5445742,-0.055604648,1.4051076697200862,0.07359799932119815,0.3477011420682733,0.058657941151254715
1413,0.63242924,0.39964053,0.40232056,1.4270460468702415,0.0529500046113424,0.6116222579317266,0.05855223862273782
1235,-0.8342496,0.552205,-0.9886977,1.4750663120326082,0.023854215593609993,0.8550565820682734,0.05792136547675368
1229,-0.32836232,0.40969917,0.005776395,1.4934966955562914,0.1116486808618512,0.34916930206827335,0.05888078182291613
487,-0.08258149,0.6490478,-0.15076157,1.5224257148418316,0.004648523308806402,0.10338847206827333,0.05792933869108965
648,0.28475678,0.47127274,0.06047804,1.53597839703871,0.05030095321598759,0.2639497979317267,0.05779781480358789
125,-0.6405381,0.6531965,-0.6022584,1.560207285307068,0.0014653354320900021,0.6613450820682734,0.0568430270176303
527,-0.371596,0.5404579,-0.37780124,1.5608053512168047,3.850500345760001e-05,0.3924029820682733,0.055896284984060754
1087,-0.20348325,0.49697453,-0.22759166,1.5653252362361805,0.0005812154327280998,0.22429023206827334,0.05498948056518645
714,-0.072557054,0.5952325,-0.34639457,1.5766005005395378,0.07498698516905025,0.09336403606827333,0.055312020962022965
1176,0.5693455,0.45334366,0.807094,1.6010994348203813,0.056524349252250014,0.5485385179317266,0.05533126426821704
129,-0.33360016,0.45105115,-0.18451256,1.61841059189759,0.022227112473759997,0.3544071420682733,0.05481401189642865
701,-0.13484,0.5622908,-0.37385476,1.6350467968875122,0.05712805549785761,0.15564698206827332,0.05484961256721986
979,0.17404707,0.4744145,0.28110376,1.6689357583083382,0.011461134873756097,0.15324008793172667,0.054192211390046166
1302,0.34077296,0.5158159,0.4670258,1.6715894169007155,0.015939779608065596,0.31996597793172665,0.053621279572404666
113,0.15076107,0.40954027,0.1379573,1.6766419988886243,0.0001639365262128998,0.12995408793172666,0.05283514217466655
1428,-0.49804866,0.43472576,-0.7775831,1.7226869276635053,0.07813950314611359,0.5188556420682733,0.053201872043817953
676,-0.28466055,0.43485513,-0.2627777,1.7233794329939904,0.0004788591241225004,0.3054675320682734,0.05244868614496516
1487,0.26754546,0.5740839,0.44206288,1.7423360789775342,0.030456329883456392,0.24673847793172668,0.0521389346483242
971,0.9189621,0.51581836,1.0963922,1.7874389481411814,0.03148144038600997,0.8981551179317266,0.05185202500579205
142,-0.13881499,0.3554501,-0.31430724,1.806192421306692,0.030797529810062497,0.15962197206827333,0.0515636072633848
820,-0.010994226,0.68589336,0.078399554,1.8174699164254065,0.007991247902688398,0.03180120806827333,0.05097479159634836
346,-0.16544852,0.72869575,-0.4173271,1.834000031447635,0.06344281906281642,0.18625550206827332,0.05114103196256793
523,-0.01013878,0.53164124,-0.22521974,1.8429446481151968,0.04625981935452159,0.030945762068273333,0.051076805480883114
53,0.19562384,0.49284035,0.04421667,1.8465847003880291,0.022924131127408893,0.17481685793172666,0.0507111863334354
1455,-0.42256323,0.6365898,-0.15914552,1.8473631291991952,0.06938888994164412,0.4433702120682733,0.05095064407200218
1373,0.19797337,0.57970804,0.26481372,1.851289481022494,0.004467632388122495,0.17716638793172668,0.050362251519041674
947,0.09427723,0.3190392,0.29490355,1.877053388304952,0.04025092027674241,0.07347024793172667,0.05023585987851294
547,0.31667274,0.61252725,0.20713523,1.8770631317315984,0.011998466097000102,0.29586575793172665,0.049763793288617714
439,-0.007141918,0.49282113,-0.041632265,1.8840315130650465,0.0011895840361804094,0.027948900068273334,0.04917142488310019
175,-0.21471824,0.5455941,-0.21196295,1.9230246852184436,7.591622984099965e-06,0.23552522206827334,0.04857908954261687
996,0.06443989,0.55851394,-0.19409548,1.9278828194390167,0.06684053754103689,0.04363290793172667,0.04879648773307425
1393,0.15542403,0.40619403,0.15924416,1.932792114412984,1.4593393216900038e-05,0.13461704793172666,0.0482225830937818
1464,-0.2836877,0.43433318,-0.59660435,1.9426641185599205,0.09791682984722251,0.30449468206827335,0.04880042317231018
788,0.24148828,0.47318605,-0.1349663,1.9559262492622944,0.1417180508029764,0.22068129793172667,0.04986844188070864
932,-0.44249666,0.46781844,-0.5316852,1.9564167381939677,0.007954595667331596,0.46330364206827335,0.049392148173738444
1311,-0.28552473,0.5955454,-0.3355838,1.9604357778452517,0.002505910489264898,0.30633171206827337,0.04886533651436233
31,-0.5396622,0.7443675,-0.5540293,1.9654795229657709,0.00020641356240999901,0.5604691820682733,0.04832468181489619
767,0.09890296,0.6066045,0.47237125,1.9908820234539004,0.13947856363552413,0.07809597793172667,0.04932637282391408
1040,-0.17315397,0.5144866,-0.49155727,2.000897506563325,0.10138066145089,0.19396095206827332,0.04989218030898991
77,-0.36397886,0.57365566,-0.7858207,2.009181902668013,0.17795053797458563,0.3847858420682734,0.05126915189679202
728,0.08480862,0.56655794,0.02961775,2.009928312866411,0.0030460321313569003,0.06400163793172667,0.05075613998439377
1474,0.22030832,0.57411176,0.1956637,2.011654338318168,0.0006073572949444003,0.19950133793172667,0.05022825806134693
573,-0.478805,0.43157783,-0.68425465,2.036450065703244,0.042209558685122495,0.4996119820682733,0.0501447299428446
1146,0.2837538,0.46339604,-0.033088967,2.057842706931992,0.10038933900021631,0.2629468179317267,0.05066271560322987
1130,0.34650728,0.64690167,-0.04999101,2.0587825699164277,0.1572108939729241,0.3257002979317266,0.05174994191312471
76,-0.030628707,0.6087271,-0.08180665,2.0588886329458327,0.002619181849711248,0.05143568906827334,0.05125367160945387
1078,0.28304386,0.9751242,0.13483512,2.063579442634248,0.021965830612387594,0.2622368779317267,0.050960793199483205
610,-0.66374075,0.6587317,-0.6487714,2.0958120568399083,0.00022408143942249977,0.6845477320682734,0.05045844951869053
254,0.47262532,0.5318354,0.29999772,2.100454554768899,0.02980028828176,0.45181833793172665,0.0502559185261716
1324,0.21784326,0.45993215,0.14638643,2.1018399727834858,0.0051060785536489,0.19703627793172668,0.04981757056527332
1411,-0.5322982,0.57457346,-0.44099438,2.1129494659374224,0.008336387546592406,0.5531051820682734,0.049418713036247536
1100,0.40199092,0.4845461,0.4465163,2.1496226665787472,0.0019825094641444004,0.38118393793172667,0.04896693966889418
385,0.1322022,0.49552497,-0.07502303,2.163921265752081,0.042942295948552894,0.11139521793172666,0.04891010340738152
1259,-0.03453874,0.46295625,0.20798816,2.1704728788771344,0.05881929722361,0.05534572206827333,0.04900271269538366
836,-0.5510678,0.4979757,-0.65582913,2.1706496623572926,0.010974936263368897,0.5718747820682734,0.04865060365434649
1022,-0.46755344,0.59239024,-0.923157,2.1795971118851307,0.2075746038846736,0.48836042206827335,0.05010862200508343
1239,-0.3824976,0.5495408,-0.50948286,2.189686078464134,0.016125256257267597,0.40330458206827335,0.04979968231646693
1326,-0.84575975,0.8464979,-0.47433233,2.1961456285835954,0.1379583283278564,0.8665667320682734,0.05059390435260557
1325,0.017064251,0.44541857,0.046939198,2.200746577704453,0.0008925124582528091,0.003742731068273334,0.05015014192497742
1355,-0.062252667,0.68685526,0.03592079,2.201159225438122,0.009638027659330847,0.08305964906827333,0.04979162763944073
837,0.049885444,0.5513552,0.4445211,2.208000525626265,0.15573730098655034,0.029078461931726668,0.05072097565125748
846,-0.31461668,0.69752264,-0.119507745,2.226993801848196,0.03806749651683422,0.33542366206827334,0.05061094539791467
1286,-0.44310284,0.43821937,-0.7569851,2.2281906917672734,0.09852207314270758,0.46390982206827336,0.05102397236123186
464,0.59412324,0.92216045,0.37570643,2.239730497233385,0.04770590289057613,0.5733162579317267,0.0509956127931066
974,-0.16673225,0.5787882,-0.16687633,2.2426339237017023,2.0759046399997372e-08,0.18753923206827333,0.05056344675891964
743,-0.09425532,0.629753,-0.29778525,2.251924269843333,0.0414244324058049,0.11506230206827334,0.0504866483189775
1402,-0.34168342,0.4960556,-0.34296095,2.254038282645106,1.6320829008999264e-06,0.3624904020682733,0.05006593985034353
1143,-0.25591388,0.5163083,-0.0944408,2.2581010774712302,0.026073555564686397,0.2767208620682733,0.04986765568269346
1252,-0.3211748,0.4792445,-0.36060768,2.271729913149146,0.0015549520250944004,0.34198178206827334,0.04947164991500823
1202,-0.1329658,0.4918922,-0.2057997,2.2753062050013586,0.005304776989210001,0.15377278206827333,0.04911256964731881
69,-0.12701221,0.45425388,-0.1819897,2.2975203859273714,0.003022524406700102,0.14781919206827332,0.04874087573408801
543,0.31625807,0.53884465,0.16859838,2.346494604185533,0.021803384050896102,0.2954510879317267,0.04852537580062248
1191,0.17046255,0.51668626,0.28742075,2.3602388447401044,0.013679220547240002,0.14965556793172666,0.048248819012897216
652,-0.15169197,0.58708155,-0.6723189,2.3700081547282905,0.27105240024122496,0.17249895206827334,0.050003177920206886
310,0.32813555,0.40247682,0.43561158,2.406683719252691,0.0115510970245609,0.3073285679317267,0.04970277103820965
1024,-0.45868027,0.8705549,-0.004710782,2.416888340468459,0.20608829603498213,0.47948725206827336,0.0509150619296575
1418,0.2412053,0.46695682,0.20553094,2.4198223864740256,0.0012726599614096012,0.22039831793172668,0.05053319729913252
88,0.09458108,0.528251,-0.69462436,2.4259722124334924,0.6228452265255937,0.07377409793172666,0.054901991415365045
977,-0.34728837,0.39631662,-0.58849794,2.430239631394498,0.05818205665958489,0.3680953520682734,0.05492684039448792
1436,-0.36385614,0.5742299,-0.8262925,2.4478465880994094,0.2138473870500496,0.38466312206827336,0.05612173172272523
1096,-0.072850555,0.41304582,-0.098738775,2.452082795761349,0.0006701999347684002,0.09365753706827333,0.05570791432132256
895,0.42864534,0.44567847,0.40954912,2.4615421116544534,0.0003646656182883999,0.4078383579317266,0.05529796433092972
1354,-0.11480284,0.45078722,0.07174213,2.4670576382699183,0.0347990258323009,0.13560982206827332,0.05514723684196922
591,-0.048543807,0.685256,-0.1480119,2.476958072297997,0.009893901525056651,0.06935078906827333,0.05481692052578737
937,-0.031808443,0.47690913,-0.4540702,2.4915022280953147,0.17830499142472703,0.05261542506827333,0.05571176161925795
786,-0.12512636,0.8407557,-0.057581022,2.530656981798708,0.004562372685534242,0.14593334206827333,0.05534378040390742
736,0.04371283,0.560022,-0.06467608,2.538059905268997,0.011748155810988101,0.022905847931726668,0.05503238308538656
875,0.5317619,0.8360119,0.2614036,2.538937059900126,0.07309361037888999,0.5109549179317266,0.055160476895978784
302,0.072128095,0.4765279,-0.30699196,2.5435606062028797,0.14373201610320305,0.05132111293172667,0.05578422012983248
621,0.1696218,0.48386526,0.61049247,2.545852410295687,0.19436694766624887,0.14881481793172666,0.05675333011260462
170,-0.49542853,0.56600857,-0.26970178,2.54946415599498,0.05095256566556249,0.5162355120682733,0.05671304702616683
637,-0.47337335,0.47786167,-0.7123671,2.5527935614843607,0.057118012539062506,0.4941803320682734,0.056715839891773
191,-0.33933726,0.59050167,-0.49933052,2.5604193582088643,0.025597843245427607,0.36014424206827333,0.056502702928441874
504,-0.26017624,0.5623489,0.16358274,2.56969733441803,0.1795716731306404,0.2809832220682733,0.05733990680736839
841,-0.1045772,0.4202246,0.31765258,2.598419084300644,0.1782779871188484,0.12538418206827334,0.05815705599866218
1203,-0.55526304,0.64189655,-0.7165748,2.6069154637632117,0.026021483914297573,0.5760700220682734,0.057941381018230195
1335,0.10141564,0.50173175,-0.24142912,2.6195403865131834,0.11754252945945758,0.08060865793172667,0.058338722007838385
18,-0.16170543,0.46165136,0.36292356,2.634323402540652,0.27523557714842006,0.18251241206827334,0.05977512502201442
1341,0.49707222,0.6371786,0.23071232,2.6402831183553617,0.07094759632801,0.4762652379317267,0.05984862812271176
38,0.05480676,0.69332176,0.057523638,2.6526248295940493,7.3814260668839946e-06,0.03399977793172667,0.05945750886325657
831,-0.31701893,0.42586744,-0.446067,2.667250733975652,0.016653404370724902,0.3378259120682733,0.05917956013278558
1033,-0.36894134,0.48538795,-0.7035301,2.6742364395307394,0.11194963831833762,0.38974832206827337,0.05952001225011173
574,-0.83784676,0.74006677,-1.1392313,2.6912115695260184,0.09083264095101162,0.8586537420682734,0.05972073422896365
1105,-0.4963475,0.5177709,-0.5685413,2.69266587671166,0.005211944758440004,0.5171544820682733,0.059373544487113177
230,-0.1204675,0.6630313,-0.62479436,2.6928879752665047,0.2543455817174595,0.14127448206827334,0.06060754472274828
518,0.272178,0.51528645,0.18885197,2.694741973352605,0.006943227275560895,0.25137101793172667,0.060270033292262826
1288,0.48997086,0.5216089,0.5017059,2.707309322470094,0.0001377111638016007,0.46916387793172665,0.05989420627895995
410,0.5415523,0.591156,0.35383818,2.714360713860909,0.03523659084737439,0.5207453179317266,0.059741053388080535
