,y_preds,y_uncertainty,response,noise_feature_test,hetero_noise_test,sq_error,distance_from_mean,cummulative_sq_error
1267,-1.9837351,0.49122357,-1.8750654,0.3534232912330552,0.4450248193508354,0.01180910369809002,1.9482477188744634,0.01180910369809002
539,-1.5683402,1.1529739,-1.812222,3.3784694258962764,-1.233972209637459,0.05947833237124002,1.5328528188744632,0.03564371803466502
357,-1.5503029,0.51401883,-1.2944802,1.4269334989936808,1.0900794682869908,0.06544525383528998,1.5148155188744632,0.04557756330154
1210,-1.5355551,0.49833438,-1.5027672,0.4720073765422427,0.6082839433503658,0.0010750463864099987,1.5000677188744633,0.034451934072757505
1171,-1.4769261,0.44241038,-1.8177979,2.0592167363544616,-4.7636046343154055,0.11619358403523997,1.4414387188744633,0.050800264065253994
1326,-1.4728411,0.40356168,-1.1759287,0.270037282573548,-0.1734308178557853,0.08815697327375992,1.4373537188744632,0.05702638226667165
1499,-1.4523662,0.703901,1.3176136,5.201076466990669,23.206344825551938,7.672788092408039,1.4168788188744632,1.1449923408582954
318,-1.4149766,0.59096104,-0.85022455,3.423281176545088,4.346762049621328,0.31894487797920246,1.3794892188744632,1.0417364079984088
1157,-1.4081697,0.5433452,-1.1839976,1.8658100906562327,2.543940797260152,0.050253130418409946,1.3726823188744632,0.9315715993784089
574,-1.3681713,0.6607619,-0.8930465,0.866134926277456,2.1961869063145465,0.22574357557504002,1.3326839188744632,0.8609887969980721
1145,-1.3635304,0.332997,-1.3064948,0.6934525568640363,-0.1791347660515426,0.0032530596673599832,1.3280430188744632,0.7830128208770982
19,-1.320526,0.471434,-0.88488144,0.3387239903800781,0.1833789695189411,0.18978618265759367,1.2850386188744634,0.7335772676921395
899,-1.3112478,0.33254898,-0.9657326,2.1532605594255743,1.7185338792142983,0.11938075343104002,1.2757604188744633,0.6863313819797472
605,-1.2962792,0.7515654,-0.6925303,1.98706602646826,5.506478523029919,0.36451273425121006,1.2607918188744633,0.6633443357134231
827,-1.2880968,1.159918,-2.2241466,9.10845894152275,-5.77312876886346,0.8761892280800403,1.2526094188744632,0.677533995204531
1472,-1.2803061,0.83102554,-1.6299652,2.883956532189549,-3.834110012318719,0.12226148621281,1.2448187188744633,0.6428294633925484
1454,-1.2753987,0.4118729,-0.4515254,3.056420088196451,4.221961949451567,0.67876721445289,1.2399113188744633,0.6449434487490391
809,-1.2635161,0.37610054,-1.69649,2.1283310471454624,-4.133086284136089,0.18746639808121013,1.2280287188744632,0.6195280570452708
960,-1.2631774,0.43944517,-0.6697172,1.7859237426216474,3.201507786124812,0.35219500898404,1.2276900188744633,0.6054578966209955
1258,-1.262845,0.4979334,-1.4328144,2.6063859701375724,-2.193790177678145,0.028889596936360017,1.2273576188744633,0.5766294816367636
1133,-1.2164241,0.5992838,-1.5093596,3.2855675919779683,-3.2860283132868977,0.08581120716025001,1.1809367188744633,0.5532571828521677
29,-1.2102474,1.277887,-3.9909723,9.083642827615568,-25.18653091975903,7.73243096948001,1.1747600188744634,0.8795832640625243
386,-1.1903319,1.0211425,-0.37592626,3.4590964413723664,7.752455096600793,0.6632565464638098,1.1548445188744634,0.8701777546017107
1328,-1.1867597,0.672576,-1.0661373,2.962510896100852,-0.8296086388922413,0.014549763381760004,1.1512723188744634,0.8345265883008793
