,y_preds,y_uncertainty,response,noise_feature_test,hetero_noise_test,sq_error,distance_from_mean,cummulative_sq_error
1195,0.54503095,0.4455139,0.68442625,0.0007860228480185,-0.0003546214646503,0.01943104966209,0.5805183311255366,0.01943104966209
182,0.33982816,0.42952722,0.049879592,0.003119026838046,-0.0012525937404579,0.08407017208525064,0.37531554112553667,0.05175061087367032
1381,-0.1126937,0.43121102,0.39153764,0.0042392425973243,-0.0071340152849495,0.2542492442381956,0.07720631887446333,0.11925015532851209
689,-0.80078495,0.7802938,-0.7399769,0.005036580424434,0.0089786728363284,0.0036976189448025003,0.7652975688744634,0.0903620212325847
1466,-0.3251826,0.48630407,-0.4571807,0.0064516962333801,-0.0171728476112067,0.017423498403610002,0.2896952188744633,0.07577431666678977
632,-0.015840445,0.4409282,-0.02364862,0.0069056746377275,-0.0068655463469379,6.0967596830624955e-05,0.019646936125536668,0.06315542515512991
323,-0.08988093,0.41827,0.3428906,0.0082203339686257,0.034533421076438,0.18729119717854092,0.05439354887446333,0.08088910687276006
137,0.20318113,0.84285253,0.4846405,0.0092821080629325,-0.0076751618207926,0.0792193769607969,0.23866851112553666,0.08068039063376467
610,-0.9646559,0.40288118,-1.0902402,0.0116807169217364,-0.0124406611966943,0.015771416406489994,0.9291685188744634,0.07346828238628972
995,-0.073030785,0.51213413,-0.0437052,0.013020961755408,0.0021381704322748,0.000859989935592225,0.03754340387446333,0.06620745314121997
275,0.78528863,0.39113095,0.9613967,0.0131546360950077,0.0439967967131314,0.031014052319124883,0.8207760111255367,0.06300805306648405
1375,-0.743085,0.45079523,-0.9339365,0.0139242148140021,0.0410921756444571,0.036424295052249984,0.7075976188744634,0.06079273989863121
396,0.16555598,0.42682976,-0.084526874,0.0141587878235659,0.010671650758185,0.06254143386478529,0.20104336112553667,0.0609272548191046
740,-0.038054343,0.419812,-0.068695895,0.0171774610505495,-0.0170348043637796,0.0009389047089687046,0.0025669618744633277,0.05664237266838061
1435,0.42226675,0.43548986,0.31616703,0.0179533665071264,-0.0969432011295752,0.011257150584078402,0.4577541311255367,0.053616691196093795
405,-0.06889211,0.44035712,0.09753146,0.0180814035054796,0.0028358910395362,0.027696804651544907,0.03340472887446334,0.05199669828705949
1316,0.12084262,0.40349582,0.05142053,0.0189598778941481,0.0823851501639146,0.004819426579968099,0.15633000112553666,0.049221564657230585
236,-0.16778482,0.45907825,-0.15911049,0.0195297673509811,0.0002834350745129,7.524400094890014e-05,0.13229743887446332,0.04649121350965938
1468,0.02912261,0.5194175,0.060452275,0.0222264788552848,0.0647761187878734,0.000981547909012225,0.06460999112553667,0.04409596795173058
1091,-1.1547637,0.44767118,-1.3361005,0.0226399489269739,-0.0037724792725103,0.032883035034239984,1.1192763188744632,0.04353532130585605
1082,-0.48367605,0.4068865,-0.6862652,0.0229015427991291,-0.0157538080071281,0.041042363697722496,0.44818866887446335,0.043416609038802075
1491,0.79362226,0.59767425,0.4577467,0.0285186011893217,-0.0553837392837266,0.1128123918053136,0.8291096411255366,0.04657096280091624
1417,0.597158,0.5003937,0.51125526,0.0292954782109382,0.0656020442570117,0.007379280739507596,0.6326453811255366,0.044866976624333255
160,-0.14166027,0.41673172,-0.0100356005,0.0317432787495361,0.0369970140455506,0.017325053620984233,0.10617288887446333,0.04371939649919371
1203,-0.5324731,0.56104124,-0.7702032,0.0326251991780298,0.0018221228627372,0.05651560044600997,0.49698571887446336,0.044231244657066356
280,-0.56854033,0.45543733,-0.4549064,0.0368758316962245,0.0381587522320113,0.01291267004724491,0.5330529488744634,0.04302668409515014
316,-0.35718507,0.44109675,-0.081334434,0.0386040736329724,0.1395754885033898,0.07609357338160448,0.3216976888744633,0.04425138369835215
1373,0.24555081,0.55434877,0.30348077,0.0412522497114389,0.0087259772395465,0.0033558802656016005,0.2810381911255367,0.04279083000432534
1209,-0.50585335,0.45059738,-0.1670375,0.0438881678798246,0.138704726635701,0.11479618021122248,0.4703659688744633,0.045273773114908
975,-1.015487,0.3133799,-1.2881405,0.0445703212892533,-0.0215315216025215,0.07433993106224994,0.9799996188744634,0.04624264504648607
244,0.27087647,0.5634725,0.14032593,0.0457906586677311,0.031530787130211,0.0170434434942916,0.30636385112553666,0.04530073531899593
1310,-0.13537632,0.44863504,-0.28297755,0.0469741685458934,0.0390198535630024,0.02178612309751291,0.09988893887446332,0.04456590368707458
1477,-0.1357454,0.47187606,0.013424847,0.0485899471443031,0.0452545579844042,0.022251762590041003,0.10025801887446331,0.043889717593225075
856,0.041296314,0.80867076,-0.033175055,0.0524516103875891,-0.022126060141013,0.0055459848007341625,0.07678369512553668,0.04276196074638711
748,0.37325707,0.49069154,0.51219195,0.0555364813011684,0.0414893863706554,0.01930290088061438,0.4087444511255367,0.04209170189307932
62,-0.50386655,0.35855994,-0.5854563,0.0575701020915033,-0.0358659748209094,0.006656887305062502,0.46837916887446335,0.04110740148785663
329,-0.48340484,0.5036937,-0.8119086,0.0602731326305513,-0.0401444035667695,0.10791472033413758,0.4479174588744633,0.04291300469991828
437,-0.51296216,0.53841853,-0.7373321,0.0713183204250791,0.0462191242592821,0.050341869975603644,0.47747477887446327,0.04310850115454158
672,-0.1830744,0.53094906,-0.29819098,0.0719408132098179,0.1934634057766861,0.0132518269908964,0.14758701887446332,0.0423429454067558
614,-0.093152046,1.1560404,0.118714824,0.0749605889333239,-0.0029938697116874,0.044887570603596896,0.05766466487446333,0.04240656103667683
669,-0.30084154,0.6601161,0.16058,0.0790842581007447,-0.1623694173764861,0.21290983757597162,0.26535415887446334,0.04656517753763524
760,-0.23617887,0.40010566,-0.1277514,0.0803843387227821,0.0534084781553879,0.011756516250600906,0.20069148887446334,0.045736399887943945
126,-0.35322163,0.44093388,-0.4989361,0.0810487490333074,0.1558888531766778,0.021232706767380895,0.31773424887446333,0.04516654655955876
395,-0.9478748,0.5781059,-0.7377605,0.0820663414991406,0.4486549115970891,0.04414801906448999,0.9123874188744634,0.04514339820739811
892,-0.41755706,0.4861659,-0.15081613,0.082288858271985,-0.1733936427640203,0.07115072373726489,0.3820696788744633,0.04572133877472849
473,-0.06742303,0.29021174,0.084229544,0.0861858466894789,-0.0243565383093111,0.02299850320082547,0.031935648874463325,0.045227364088339286
1087,0.029570106,0.4453945,-0.24313457,0.0873004398572021,0.0859898181075177,0.07436784031226497,0.06505748712553666,0.045847374220763244
1464,-0.26732212,0.46093592,-0.6086134,0.0889978112598492,0.1763718842159644,0.11647973780403838,0.23183473887446332,0.047318881795414804
1130,0.30506125,0.4848689,0.23571071,0.0899815706915536,0.0334168678530652,0.004809497398291602,0.3405486311255367,0.04645134333833066
0,0.24368833,0.42191184,0.14818084,0.0911208204460325,0.2168919305012137,0.0091216806461001,0.2791757111255367,0.04570475008448605
1295,-0.11687058,0.44515008,0.100441046,0.0922462077010116,0.1139224782446468,0.04722434279476388,0.08138319887446333,0.045734546019981705
